# DerivedGeneralCategory-3.2.0.txt
# Date: 2002-03-19,23:30:49 GMT [MD]
#
# Unicode Character Database: Derived Property Data
# Generated algorithmically from the Unicode Character Database
# For documentation, see DerivedProperties.html
# Note: Unassigned and Noncharacter codepoints are omitted,
#       except when listing Noncharacter or Cn.
# ================================================


# ================================================
# General Category (listing UnicodeData.txt, field 2: see UnicodeData.html)
# ================================================

0221          ; Cn #       
0234..024F    ; Cn #  [28] 
02AE..02AF    ; Cn #   [2] 
02EF..02FF    ; Cn #  [17] 
0350..035F    ; Cn #  [16] 
0370..0373    ; Cn #   [4] 
0376..0379    ; Cn #   [4] 
037B..037D    ; Cn #   [3] 
037F..0383    ; Cn #   [5] 
038B          ; Cn #       
038D          ; Cn #       
03A2          ; Cn #       
03CF          ; Cn #       
03F7..03FF    ; Cn #   [9] 
0487          ; Cn #       
04CF          ; Cn #       
04F6..04F7    ; Cn #   [2] 
04FA..04FF    ; Cn #   [6] 
0510..0530    ; Cn #  [33] 
0557..0558    ; Cn #   [2] 
0560          ; Cn #       
0588          ; Cn #       
058B..0590    ; Cn #   [6] 
05A2          ; Cn #       
05BA          ; Cn #       
05C5..05CF    ; Cn #  [11] 
05EB..05EF    ; Cn #   [5] 
05F5..060B    ; Cn #  [23] 
060D..061A    ; Cn #  [14] 
061C..061E    ; Cn #   [3] 
0620          ; Cn #       
063B..063F    ; Cn #   [5] 
0656..065F    ; Cn #  [10] 
06EE..06EF    ; Cn #   [2] 
06FF          ; Cn #       
070E          ; Cn #       
072D..072F    ; Cn #   [3] 
074B..077F    ; Cn #  [53] 
07B2..0900    ; Cn # [335] 
0904          ; Cn #       
093A..093B    ; Cn #   [2] 
094E..094F    ; Cn #   [2] 
0955..0957    ; Cn #   [3] 
0971..0980    ; Cn #  [16] 
0984          ; Cn #       
098D..098E    ; Cn #   [2] 
0991..0992    ; Cn #   [2] 
09A9          ; Cn #       
09B1          ; Cn #       
09B3..09B5    ; Cn #   [3] 
09BA..09BB    ; Cn #   [2] 
09BD          ; Cn #       
09C5..09C6    ; Cn #   [2] 
09C9..09CA    ; Cn #   [2] 
09CE..09D6    ; Cn #   [9] 
09D8..09DB    ; Cn #   [4] 
09DE          ; Cn #       
09E4..09E5    ; Cn #   [2] 
09FB..0A01    ; Cn #   [7] 
0A03..0A04    ; Cn #   [2] 
0A0B..0A0E    ; Cn #   [4] 
0A11..0A12    ; Cn #   [2] 
0A29          ; Cn #       
0A31          ; Cn #       
0A34          ; Cn #       
0A37          ; Cn #       
0A3A..0A3B    ; Cn #   [2] 
0A3D          ; Cn #       
0A43..0A46    ; Cn #   [4] 
0A49..0A4A    ; Cn #   [2] 
0A4E..0A58    ; Cn #  [11] 
0A5D          ; Cn #       
0A5F..0A65    ; Cn #   [7] 
0A75..0A80    ; Cn #  [12] 
0A84          ; Cn #       
0A8C          ; Cn #       
0A8E          ; Cn #       
0A92          ; Cn #       
0AA9          ; Cn #       
0AB1          ; Cn #       
0AB4          ; Cn #       
0ABA..0ABB    ; Cn #   [2] 
0AC6          ; Cn #       
0ACA          ; Cn #       
0ACE..0ACF    ; Cn #   [2] 
0AD1..0ADF    ; Cn #  [15] 
0AE1..0AE5    ; Cn #   [5] 
0AF0..0B00    ; Cn #  [17] 
0B04          ; Cn #       
0B0D..0B0E    ; Cn #   [2] 
0B11..0B12    ; Cn #   [2] 
0B29          ; Cn #       
0B31          ; Cn #       
0B34..0B35    ; Cn #   [2] 
0B3A..0B3B    ; Cn #   [2] 
0B44..0B46    ; Cn #   [3] 
0B49..0B4A    ; Cn #   [2] 
0B4E..0B55    ; Cn #   [8] 
0B58..0B5B    ; Cn #   [4] 
0B5E          ; Cn #       
0B62..0B65    ; Cn #   [4] 
0B71..0B81    ; Cn #  [17] 
0B84          ; Cn #       
0B8B..0B8D    ; Cn #   [3] 
0B91          ; Cn #       
0B96..0B98    ; Cn #   [3] 
0B9B          ; Cn #       
0B9D          ; Cn #       
0BA0..0BA2    ; Cn #   [3] 
0BA5..0BA7    ; Cn #   [3] 
0BAB..0BAD    ; Cn #   [3] 
0BB6          ; Cn #       
0BBA..0BBD    ; Cn #   [4] 
0BC3..0BC5    ; Cn #   [3] 
0BC9          ; Cn #       
0BCE..0BD6    ; Cn #   [9] 
0BD8..0BE6    ; Cn #  [15] 
0BF3..0C00    ; Cn #  [14] 
0C04          ; Cn #       
0C0D          ; Cn #       
0C11          ; Cn #       
0C29          ; Cn #       
0C34          ; Cn #       
0C3A..0C3D    ; Cn #   [4] 
0C45          ; Cn #       
0C49          ; Cn #       
0C4E..0C54    ; Cn #   [7] 
0C57..0C5F    ; Cn #   [9] 
0C62..0C65    ; Cn #   [4] 
0C70..0C81    ; Cn #  [18] 
0C84          ; Cn #       
0C8D          ; Cn #       
0C91          ; Cn #       
0CA9          ; Cn #       
0CB4          ; Cn #       
